[VOL_TARGET] vol=31.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=31.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=29.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=29.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=29.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=29.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=29.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=29.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=29.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=29.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=29.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=26.7% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
[VOL_TARGET] vol=27.2% | target=12.0% | mult=0.5
